movieId,title,genres,year,imdbId
1,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995.0,tt0114709
2,Jumanji,"['Adventure', 'Children', 'Fantasy']",1995.0,tt0113497
3,Grumpier Old Men,"['Comedy', 'Romance']",1995.0,tt0113228
4,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",1995.0,tt0114885
5,Father of the Bride Part II,['Comedy'],1995.0,tt0113041
6,Heat,"['Action', 'Crime', 'Thriller']",1995.0,tt0113277
7,Sabrina,"['Comedy', 'Romance']",1995.0,tt0114319
8,Tom and Huck,"['Adventure', 'Children']",1995.0,tt0112302
9,Sudden Death,['Action'],1995.0,tt0114576
10,GoldenEye,"['Action', 'Adventure', 'Thriller']",1995.0,tt0113189
11,The American President,"['Comedy', 'Drama', 'Romance']",1995.0,tt0112346
12,Dracula: Dead and Loving It,"['Comedy', 'Horror']",1995.0,tt0112896
13,Balto,"['Adventure', 'Animation', 'Children']",1995.0,tt0112453
14,Nixon,['Drama'],1995.0,tt0113987
15,Cutthroat Island,"['Action', 'Adventure', 'Romance']",1995.0,tt0112760
16,Casino,"['Crime', 'Drama']",1995.0,tt0112641
17,Sense and Sensibility,"['Drama', 'Romance']",1995.0,tt0114388
18,Four Rooms,['Comedy'],1995.0,tt0113101
19,Ace Ventura: When Nature Calls,['Comedy'],1995.0,tt0112281
20,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995.0,tt0113845
21,Get Shorty,"['Comedy', 'Crime', 'Thriller']",1995.0,tt0113161
22,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",1995.0,tt0112722
23,Assassins,"['Action', 'Crime', 'Thriller']",1995.0,tt0112401
24,Powder,"['Drama', 'Sci-Fi']",1995.0,tt0114168
25,Leaving Las Vegas,"['Drama', 'Romance']",1995.0,tt0113627
26,Othello,['Drama'],1995.0,tt0114057
27,Now and Then,"['Children', 'Drama']",1995.0,tt0114011
28,Persuasion,"['Drama', 'Romance']",1995.0,tt0114117
29,The City of Lost Children,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1995.0,tt0112682
30,Shanghai Triad,"['Crime', 'Drama']",1995.0,tt0115012
31,Dangerous Minds,['Drama'],1995.0,tt0112792
32,Twelve Monkeys,"['Mystery', 'Sci-Fi', 'Thriller']",1995.0,tt0114746
33,Wings of Courage,"['Adventure', 'Romance', 'IMAX']",1995.0,tt0114952
34,Babe,"['Children', 'Drama']",1995.0,tt0112431
35,Carrington,"['Drama', 'Romance']",1995.0,tt0112637
36,Dead Man Walking,"['Crime', 'Drama']",1995.0,tt0112818
37,Across the Sea of Time,"['Documentary', 'IMAX']",1995.0,tt0112286
38,It Takes Two,"['Children', 'Comedy']",1995.0,tt0113442
39,Clueless,"['Comedy', 'Romance']",1995.0,tt0112697
40,"Cry, the Beloved Country",['Drama'],1995.0,tt0112749
41,Richard III,"['Drama', 'War']",1995.0,tt0114279
42,Dead Presidents,"['Action', 'Crime', 'Drama']",1995.0,tt0112819
43,Restoration,['Drama'],1995.0,tt0114272
44,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",1995.0,tt0113855
45,To Die For,"['Comedy', 'Drama', 'Thriller']",1995.0,tt0114681
46,How to Make an American Quilt,"['Drama', 'Romance']",1995.0,tt0113347
47,Seven,"['Mystery', 'Thriller']",1995.0,tt0114369
48,Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995.0,tt0114148
49,When Night Is Falling,"['Drama', 'Romance']",1995.0,tt0114916
50,The Usual Suspects,"['Crime', 'Mystery', 'Thriller']",1995.0,tt0114814
51,Guardian Angel,"['Action', 'Drama', 'Thriller']",1994.0,tt0109950
52,Mighty Aphrodite,"['Comedy', 'Drama', 'Romance']",1995.0,tt0113819
53,Lamerica,"['Adventure', 'Drama']",1994.0,tt0110299
54,The Big Green,"['Children', 'Comedy']",1995.0,tt0112499
55,Georgia,['Drama'],1995.0,tt0113158
56,Kids of the Round Table,"['Adventure', 'Children', 'Comedy', 'Fantasy']",1995.0,tt0113541
57,Home for the Holidays,['Drama'],1995.0,tt0113321
58,The Postman,"['Comedy', 'Drama', 'Romance']",1994.0,tt0110877
59,The Confessional,"['Drama', 'Mystery']",1995.0,tt0112714
60,The Indian in the Cupboard,"['Adventure', 'Children', 'Fantasy']",1995.0,tt0113419
61,Eye for an Eye,"['Drama', 'Thriller']",1996.0,tt0116260
62,Mr. Holland's Opus,['Drama'],1995.0,tt0113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Comedy', 'Crime']",1996.0,tt0116126
64,Two if by Sea,"['Comedy', 'Romance']",1996.0,tt0118002
65,Bio-Dome,['Comedy'],1996.0,tt0115683
66,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Sci-Fi', 'Thriller']",1996.0,tt0116839
67,Two Bits,['Drama'],1995.0,tt0114753
68,French Twist,"['Comedy', 'Romance']",1995.0,tt0113149
69,Friday,['Comedy'],1995.0,tt0113118
70,From Dusk Till Dawn,"['Action', 'Comedy', 'Horror', 'Thriller']",1996.0,tt0116367
71,Fair Game,['Action'],1995.0,tt0113010
72,Kicking and Screaming,"['Comedy', 'Drama']",1995.0,tt0113537
73,Les Misérables,"['Drama', 'War']",1995.0,tt0113828
74,Bed of Roses,"['Drama', 'Romance']",1996.0,tt0115644
75,Big Bully,"['Comedy', 'Drama']",1996.0,tt0115676
76,Screamers,"['Action', 'Sci-Fi', 'Thriller']",1995.0,tt0114367
77,Nico Icon,['Documentary'],1995.0,tt0113973
78,The Crossing Guard,"['Action', 'Crime', 'Drama', 'Thriller']",1995.0,tt0112744
79,The Juror,"['Drama', 'Thriller']",1996.0,tt0116731
80,The White Balloon,"['Children', 'Drama']",1995.0,tt0112445
